문서ID,원본유형,공급사,원문 품목명,규격,단위,기존단가(원),변경단가(원),적용일
UNIT-001,PDF,한들유통(예시),들깨가루,1kg,봉,7200,7560,2026-08-15
UNIT-002,PDF,한들유통(예시),깐양파,15kg,망,23000,25300,2026-08-15
UNIT-003,PDF,한들유통(예시),현미유,18L,말,46000,49680,2026-08-15
UNIT-004,PDF,한들유통(예시),염지닭다리,2kg,팩,14500,16095,2026-08-15
UNIT-005,PDF,한들유통(예시),깻잎절임,3kg,캔,8000,8240,2026-08-15
UNIT-006,PDF,푸른들유통(예시),건고추,1kg,박스,13500,14850,2026-08-20
UNIT-007,PDF,푸른들유통(예시),메밀면,230g×5입,BOX,4200,4620,2026-08-20
UNIT-008,PDF,푸른들유통(예시),참기름,500ml,pk,9800,10486,2026-08-20
UNIT-009,PDF,푸른들유통(예시),쌀엿,1kg, PK ,11000,12100,2026-08-20
UNIT-010,PDF,푸른들유통(예시),다시마채,500g,EA/BOX,6400,6800,2026-08-20
