문서ID,원본유형,공급사,원문 품목명,규격,단위,기존단가(원),변경단가(원),적용일
FMT-001,PDF,가온푸드(예시),감자전분,1kg/PK,PK,삼만원,33600,2026-08-01
FMT-002,PDF,가온푸드(예시),옥수수전분,1kg/PK,PK,32000,33600원,2026-08-01
FMT-003,PDF,새봄식품(예시),양파분말,2kg/BOX,BOX,84000,88200,2026-13-45
FMT-004,PDF,새봄식품(예시),마늘분말,2kg/BOX,BOX,84500,88700,2026-02-30
FMT-005,PDF,한결유통(예시),생강분말,3kg/BOX,BOX,72000,75600,2026/08/01
FMT-006,PDF,한결유통(예시),후추분말,500g/PK,PK,미정,협의,미정
FMT-007,PDF,가온푸드(예시),고추분말,1kg/PK,PK,"32,000","33,600",2026-08-03
FMT-008,PDF,새봄식품(예시),파슬리분말,300g/PK,PK,18000,19000,
FMT-009,PDF,한결유통(예시),바질분말,300g/PK,PK,32000.00,33600,2026-08-05
FMT-010,PDF,가온푸드(예시),로즈마리분말,300g/PK,PK,21000,22050,2026-08-05
